Year,AC_def,AM_def,AP_def,MA_def,MT_def,PA_def,RO_def,RR_def,TO_def,AC_fire,AM_fire,AP_fire,MA_fire,MT_fire,PA_fire,RO_fire,RR_fire,TO_fire
2004,728,1232,46,755,11814,8870,3858,311,158,7271,8083,3413,11443,70422,74214,40824,2221,746
2005,592,775,33,922,7145,5899,3244,133,271,15993,15644,2020,10820,53489,71477,41641,1461,1175
2006,398,788,30,674,4333,5659,2049,231,124,6198,11697,1665,7885,32745,55840,25699,2189,504
2007,184,610,39,631,2678,5526,1611,309,63,8549,11293,1484,12329,52399,68491,27477,3244,1214
2008,254,604,100,1271,3258,5607,1136,574,107,5699,6701,2153,7822,18602,48449,11549,1950,528
2009,167,405,70,828,1049,4281,482,121,61,3511,9280,2456,6664,9970,41664,5396,2359,382
2010,259,595,53,712,871,3770,435,256,49,8661,12139,1000,7298,28362,57196,16924,1918,1116
2011,280,502,66,396,1120,3008,865,141,40,3191,5028,1396,4976,9103,26563,6078,1475,376
2012,305,523,27,269,757,1741,773,124,52,4720,9114,2518,6919,16133,37221,8312,1376,406
2013,221,583,23,403,1139,2346,932,170,74,4980,6512,1529,4418,10830,24046,4613,1395,365
2014,309,500,31,257,1075,1887,684,219,50,4398,9008,1848,5733,15677,35526,7327,2519,518
2015,264,712,25,209,1601,2153,1030,156,57,5779,13419,2936,7475,17599,43164,13105,2452,509
2016,372,1129,17,258,1489,2992,1376,202,58,7684,11173,2595,4928,15836,29724,11462,3870,489
2017,257,1001,24,265,1561,2433,1243,132,31,6295,11685,1946,5896,18143,49770,11298,1565,841
2018,444,1045,24,253,1490,2744,1316,195,25,6626,11446,1206,2449,11621,22080,10253,2383,281
2019,688,1421,8,215,1685,3862,1245,617,21,6802,12665,1272,3989,17479,29700,11206,4775,247
